Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
Cincinnati Reds,3,1935,Cincinnati Reds,,,3,NL,,68,85,0.444444444,none,6,,n ,,Crosley Field,448247,5898,5th of 8,$,98,96,
Cleveland Indians,12,1935,Cleveland Indians,,,1,AL,,82,71,0.535947712,none,3,,n,,League Park II,397615,5164,5th of 8,$,102,102,
Los Angeles Dodgers,8,1935,Brooklyn Dodgers,,,2,NL,,70,83,0.45751634,none,5,,n ,,Ebbets Field,470517,6111,4th of 8,$,99,98,
Minnesota Twins,14,1935,Washington Senators,,,2,AL,,67,86,0.437908497,none,6,,n,,Griffith Stadium,255011,3312,6th of 8,$,98,97,
New York Yankees,15,1935,New York Yankees,,,1,AL,,89,60,0.597315436,none,2,,n,,Yankee Stadium I,657508,8885,2nd of 8,$,91,95,
Oakland Athletics,16,1935,Philadelphia Athletics,,,2,AL,,58,91,0.389261745,none,8,,n,,Shibe Park,233173,3239,7th of 8,$,102,99,
Philadelphia Phillies,6,1935,Philadelphia Phillies,,,1,NL,,64,89,0.418300654,none,7,,n ,,Baker Bowl,205470,2601,8th of 8,$,113,110,
Pittsburgh Pirates,4,1935,Pittsburgh Pirates,,,1,NL,,86,67,0.562091503,none,4,,n,,Forbes Field,352885,4583,6th of 8,$,102,103,
San Francisco Giants,7,1935,New York Giants,,,2,NL,,91,62,0.594771242,none,3,,n,,Polo Grounds V,748748,9478,1st of 8,$,96,99,
St. Louis Cardinals,5,1935,St. Louis Cardinals,,,1,NL,,96,58,0.623376623,none,2,,n,,Sportsman's Park III,506084,6573,3rd of 8,$,102,104,
San Francisco Giants,7,1936,New York Giants,,,2,NL,,92,62,0.597402597,toppct,1,Lost_WS ,n,4-2),Polo Grounds V,837952,10743,1st of 8,$,97,100,
New York Yankees,15,1936,New York Yankees,,,1,AL,,102,51,0.666666667,both,1,Won_WS ,y,4-2),Yankee Stadium I,976913,12687,1st of 8,$,93,97,
Atlanta Braves,1,1936,Boston Bees,BBE,,4,NL,,71,83,0.461038961,none,6,,n ,,Braves Field,340585,4311,7th of 8,$,95,93,
Baltimore Orioles,9,1936,St. Louis Browns,,,2,AL,,57,95,0.375,none,7,,n ,,Sportsman's Park III,93267,1211,8th of 8,$,106,102,
Boston Red Socks,10,1936,Boston Red Sox,,,1,AL,,74,80,0.480519481,none,6,,n ,,Fenway Park,626895,8141,3rd of 8,$,106,106,
Chicago Cubs,2,1936,Chicago Cubs,,,1,NL,,87,67,0.564935065,none,2,,n,,Wrigley Field,699370,9083,2nd of 8,$,99,103,
Chicago White Sox,11,1936,Chicago White Sox,,,1,AL,,81,70,0.536423841,none,4,,n,,Comiskey Park I,440810,5877,5th of 8,$,103,104,
Cincinnati Reds,3,1936,Cincinnati Reds,,,3,NL,,74,80,0.480519481,none,5,,n ,,Crosley Field,466345,6136,4th of 8,$,95,93,
Cleveland Indians,12,1936,Cleveland Indians,,,1,AL,,80,74,0.519480519,none,5,,n,,League Park II &  Cleveland Stadium,500391,6178,4th of 8,$,102,103,
Detroit Tigers,13,1936,Detroit Tigers,,,1,AL,,83,71,0.538961039,none,2,,n,,Navin Field,875948,11376,2nd of 8,$,98,100,
Los Angeles Dodgers,8,1936,Brooklyn Dodgers,,,2,NL,,67,87,0.435064935,none,7,,n ,,Ebbets Field,489618,6198,3rd of 8,$,103,101,
Minnesota Twins,14,1936,Washington Senators,,,2,AL,,82,71,0.535947712,none,3,,n,,Griffith Stadium,379525,4929,6th of 8,$,95,94,
Oakland Athletics,16,1936,Philadelphia Athletics,,,2,AL,,53,100,0.346405229,none,8,,n,,Shibe Park,285173,3704,7th of 8,$,101,97,
Philadelphia Phillies,6,1936,Philadelphia Phillies,,,1,NL,,54,100,0.350649351,none,8,,n ,,Baker Bowl,249219,3195,8th of 8,$,114,111,
Pittsburgh Pirates,4,1936,Pittsburgh Pirates,,,1,NL,,84,70,0.545454545,none,4,,n,,Forbes Field,372524,4902,6th of 8,$,101,102,
St. Louis Cardinals,5,1936,St. Louis Cardinals,,,1,NL,,87,67,0.564935065,none,2,,n,,Sportsman's Park III,448078,5819,5th of 8,$,98,99,
San Francisco Giants,7,1937,New York Giants,,,2,NL,,95,57,0.625,toppct,1,Lost_WS ,n,4-1),Polo Grounds V,926887,12358,1st of 8,$,100,102,
New York Yankees,15,1937,New York Yankees,,,1,AL,,102,52,0.662337662,both,1,Won_WS ,y,4-1),Yankee Stadium I,998148,12635,2nd of 8,$,97,102,
Atlanta Braves,1,1937,Boston Bees,,,4,NL,,79,73,0.519736842,none,5,,n ,,Braves Field,385339,5070,7th of 8,$,91,91,
Baltimore Orioles,9,1937,St. Louis Browns,,,2,AL,,46,108,0.298701299,none,8,,n ,,Sportsman's Park III,123121,1578,8th of 8,$,104,100,
Boston Red Socks,10,1937,Boston Red Sox,,,1,AL,,80,72,0.526315789,none,5,,n ,,Fenway Park,559659,7563,4th of 8,$,103,104,
Chicago Cubs,2,1937,Chicago Cubs,,,1,NL,,93,61,0.603896104,none,2,,n,,Wrigley Field,895020,11475,2nd of 8,$,102,104,
Chicago White Sox,11,1937,Chicago White Sox,,,1,AL,,86,68,0.558441558,none,3,,n,,Comiskey Park I,589245,7653,3rd of 8,$,100,100,
Cincinnati Reds,3,1937,Cincinnati Reds,,,3,NL,,56,98,0.363636364,none,8,,n ,,Crosley Field,411221,5140,6th of 8,$,95,95,
Cleveland Indians,12,1937,Cleveland Indians,,,1,AL,,83,71,0.538961039,none,4,,n,,League Park II &  Cleveland Stadium,564849,7242,5th of 8,$,97,98,
Detroit Tigers,13,1937,Detroit Tigers,,,1,AL,,89,65,0.577922078,none,2,,n,,Navin Field,1072276,13926,1st of 8,$,101,102,
Los Angeles Dodgers,8,1937,Brooklyn Dodgers,,,2,NL,,62,91,0.405228758,none,6,,n ,,Ebbets Field,482481,6348,3rd of 8,$,104,102,
Minnesota Twins,14,1937,Washington Senators,,,2,AL,,73,80,0.477124183,none,6,,n,,Griffith Stadium,397799,4972,7th of 8,$,96,95,
Oakland Athletics,16,1937,Philadelphia Athletics,,,2,AL,,54,97,0.357615894,none,7,,n,,Shibe Park,430738,5452,6th of 8,$,101,98,
Philadelphia Phillies,6,1937,Philadelphia Phillies,,,1,NL,,61,92,0.39869281,none,7,,n ,,Baker Bowl,212790,2876,8th of 8,$,112,109,
Pittsburgh Pirates,4,1937,Pittsburgh Pirates,,,1,NL,,86,68,0.558441558,none,3,,n,,Forbes Field,459679,5893,4th of 8,$,98,100,
St. Louis Cardinals,5,1937,St. Louis Cardinals,,,1,NL,,81,73,0.525974026,none,4,,n,,Sportsman's Park III,430811,5385,5th of 8,$,101,102,
Chicago Cubs,2,1938,Chicago Cubs,,,1,NL,,89,63,0.585526316,toppct,1,Lost_WS ,n,4-0),Wrigley Field,951640,12359,1st of 8,$,101,103,
New York Yankees,15,1938,New York Yankees,,,1,AL,,99,53,0.651315789,both,1,Won_WS ,y,4-0),Yankee Stadium I,970916,12290,1st of 8,$,95,100,
Atlanta Braves,1,1938,Boston Bees,,,4,NL,,77,75,0.506578947,none,5,,n ,,Braves Field,341149,4549,6th of 8,$,90,89,
Baltimore Orioles,9,1938,St. Louis Browns,,,2,AL,,55,97,0.361842105,none,7,,n ,,Sportsman's Park III,130417,1694,8th of 8,$,104,99,
Boston Red Socks,10,1938,Boston Red Sox,,,1,AL,,88,61,0.590604027,none,2,,n ,,Fenway Park,646459,8619,3rd of 8,$,103,105,
Chicago White Sox,11,1938,Chicago White Sox,,,1,AL,,65,83,0.439189189,none,6,,n,,Comiskey Park I,338278,4634,7th of 8,$,103,103,
Cincinnati Reds,3,1938,Cincinnati Reds,,,3,NL,,82,68,0.546666667,none,4,,n ,,Crosley Field,706756,9179,3rd of 8,$,97,98,
Cleveland Indians,12,1938,Cleveland Indians,,,1,AL,,86,66,0.565789474,none,3,,n,,League Park II &  Cleveland Stadium,652006,8579,4th of 8,$,97,98,
Detroit Tigers,13,1938,Detroit Tigers,,,1,AL,,84,70,0.545454545,none,4,,n,,Briggs Stadium,799557,10121,2nd of 8,$,106,107,
Los Angeles Dodgers,8,1938,Brooklyn Dodgers,,,2,NL,,69,80,0.463087248,none,7,,n ,,Ebbets Field,663087,8961,4th of 8,$,104,103,
Minnesota Twins,14,1938,Washington Senators,,,2,AL,,75,76,0.496688742,none,5,,n,,Griffith Stadium,522694,6701,5th of 8,$,94,93,
Oakland Athletics,16,1938,Philadelphia Athletics,,,2,AL,,53,99,0.348684211,none,8,,n,,Shibe Park,385357,5070,6th of 8,$,100,96,
Philadelphia Phillies,6,1938,Philadelphia Phillies,,,1,NL,,45,105,0.3,none,8,,n ,,Shibe Park &  Baker Bowl,166111,2215,8th of 8,$,105,99,
Pittsburgh Pirates,4,1938,Pittsburgh Pirates,,,1,NL,,86,64,0.573333333,none,2,,n,,Forbes Field,641033,8218,5th of 8,$,100,100,
San Francisco Giants,7,1938,New York Giants,,,2,NL,,83,67,0.553333333,none,3,,n,,Polo Grounds V,799633,10954,2nd of 8,$,100,101,
St. Louis Cardinals,5,1938,St. Louis Cardinals,,,1,NL,,71,80,0.470198675,none,6,,n,,Sportsman's Park III,291418,3598,7th of 8,$,104,105,
Cincinnati Reds,3,1939,Cincinnati Reds,,,3,NL,,97,57,0.62987013,toppct,1,Lost_WS ,n ,4-0),Crosley Field,981443,12117,2nd of 8,$,99,102,
New York Yankees,15,1939,New York Yankees,,,1,AL,,106,45,0.701986755,both,1,Won_WS ,y,4-0),Yankee Stadium I,859785,11166,1st of 8,$,95,99,
Atlanta Braves,1,1939,Boston Bees,,,4,NL,,63,88,0.417218543,none,7,,n ,,Braves Field,285994,3918,7th of 8,$,94,92,
Baltimore Orioles,9,1939,St. Louis Browns,,,2,AL,,43,111,0.279220779,none,8,,n ,,Sportsman's Park III,109159,1399,8th of 8,$,105,102,
Boston Red Socks,10,1939,Boston Red Sox,,,1,AL,,89,62,0.589403974,none,2,,n ,,Fenway Park,573070,7641,4th of 8,$,102,104,
Chicago Cubs,2,1939,Chicago Cubs,,,1,NL,,84,70,0.545454545,none,4,,n,,Wrigley Field,726663,9083,4th of 8,$,100,102,
Chicago White Sox,11,1939,Chicago White Sox,,,1,AL,,85,69,0.551948052,none,4,,n,,Comiskey Park I,594104,7716,3rd of 8,$,103,103,
Cleveland Indians,12,1939,Cleveland Indians,,,1,AL,,87,67,0.564935065,none,3,,n,,League Park II &  Cleveland Stadium,563926,7324,5th of 8,$,96,97,
Detroit Tigers,13,1939,Detroit Tigers,,,1,AL,,81,73,0.525974026,none,5,,n,,Briggs Stadium,836279,10722,2nd of 8,$,106,107,
Los Angeles Dodgers,8,1939,Brooklyn Dodgers,,,2,NL,,84,69,0.549019608,none,3,,n ,,Ebbets Field,955668,12252,1st of 8,$,104,105,
Minnesota Twins,14,1939,Washington Senators,,,2,AL,,65,87,0.427631579,none,6,,n,,Griffith Stadium,339257,4406,7th of 8,$,94,92,
Oakland Athletics,16,1939,Philadelphia Athletics,,,2,AL,,55,97,0.361842105,none,7,,n,,Shibe Park,395022,5198,6th of 8,$,101,97,
Philadelphia Phillies,6,1939,Philadelphia Phillies,,,1,NL,,45,106,0.298013245,none,8,,n ,,Shibe Park,277973,3756,8th of 8,$,100,94,
Pittsburgh Pirates,4,1939,Pittsburgh Pirates,,,1,NL,,68,85,0.444444444,none,6,,n,,Forbes Field,376734,4893,6th of 8,$,98,98,
San Francisco Giants,7,1939,New York Giants,,,2,NL,,77,74,0.509933775,none,5,,n,,Polo Grounds V,702457,9493,3rd of 8,$,101,101,
St. Louis Cardinals,5,1939,St. Louis Cardinals,,,1,NL,,92,61,0.60130719,none,2,,n,,Sportsman's Park III,400245,5066,5th of 8,$,105,106,
Detroit Tigers,13,1940,Detroit Tigers,,,1,AL,,90,64,0.584415584,toppct,1,Lost_WS ,n,4-3),Briggs Stadium,1112693,14085,1st of 8,$,108,109,
Cincinnati Reds,3,1940,Cincinnati Reds,,,3,NL,,100,53,0.653594771,both,1,Won_WS ,y,4-3),Crosley Field,850180,11041,2nd of 8,$,99,102,
Atlanta Braves,1,1940,Boston Bees,,,4,NL,,65,87,0.427631579,none,7,,n ,,Braves Field,241616,3222,7th of 8,$,96,94,
Baltimore Orioles,9,1940,St. Louis Browns,,,2,AL,,67,87,0.435064935,none,6,,n ,,Sportsman's Park III,239591,3112,8th of 8,$,105,102,
Boston Red Socks,10,1940,Boston Red Sox,,,1,AL,,82,72,0.532467532,none,4,,n ,,Fenway Park,716234,9066,4th of 8,$,102,104,
Chicago Cubs,2,1940,Chicago Cubs,,,1,NL,,75,79,0.487012987,none,5,,n,,Wrigley Field,534878,6946,4th of 8,$,97,98,
Chicago White Sox,11,1940,Chicago White Sox,,,1,AL,,82,72,0.532467532,none,4,,n,,Comiskey Park I,660336,8466,5th of 8,$,101,102,
Cleveland Indians,12,1940,Cleveland Indians,,,1,AL,,89,65,0.577922078,none,2,,n,,Cleveland Stadium &  League Park II,902576,11007,3rd of 8,$,97,98,
Los Angeles Dodgers,8,1940,Brooklyn Dodgers,,,2,NL,,88,65,0.575163399,none,2,,n ,,Ebbets Field,975978,12049,1st of 8,$,105,108,
Minnesota Twins,14,1940,Washington Senators,,,2,AL,,64,90,0.415584416,none,7,,n,,Griffith Stadium,381241,4951,7th of 8,$,95,93,
New York Yankees,15,1940,New York Yankees,,,1,AL,,88,66,0.571428571,none,3,,n,,Yankee Stadium I,988975,13013,2nd of 8,$,92,96,
Oakland Athletics,16,1940,Philadelphia Athletics,,,2,AL,,54,100,0.350649351,none,8,,n,,Shibe Park,432145,6087,6th of 8,$,101,97,
Philadelphia Phillies,6,1940,Philadelphia Phillies,,,1,NL,,50,103,0.326797386,none,8,,n ,,Shibe Park,207177,2622,8th of 8,$,101,95,
Pittsburgh Pirates,4,1940,Pittsburgh Pirates,,,1,NL,,78,76,0.506493506,none,4,,n,,Forbes Field,507934,6772,5th of 8,$,99,99,
San Francisco Giants,7,1940,New York Giants,,,2,NL,,72,80,0.473684211,none,6,,n,,Polo Grounds V,747852,9840,3rd of 8,$,101,101,
St. Louis Cardinals,5,1940,St. Louis Cardinals,,,1,NL,,84,69,0.549019608,none,3,,n,,Sportsman's Park III,324078,4209,6th of 8,$,103,106,
Los Angeles Dodgers,8,1941,Brooklyn Dodgers,,,2,NL,,100,54,0.649350649,toppct,1,Lost_WS ,n ,4-1),Ebbets Field,1214910,15379,1st of 8,$,102,106,
New York Yankees,15,1941,New York Yankees,,,1,AL,,101,53,0.655844156,both,1,Won_WS ,y,4-1),Yankee Stadium I,964722,12368,1st of 8,$,95,99,
Atlanta Braves,1,1941,Boston Braves,BSB,,3,NL,,62,92,0.402597403,none,7,,n ,,Braves Field,263680,3469,7th of 8,$,97,94,
Baltimore Orioles,9,1941,St. Louis Browns,,,2,AL,,70,84,0.454545455,none,6,,n ,,Sportsman's Park III,176240,2231,8th of 8,$,104,104,
Boston Red Socks,10,1941,Boston Red Sox,,,1,AL,,84,70,0.545454545,none,2,,n ,,Fenway Park,718497,9331,3rd of 8,$,101,103,
Chicago Cubs,2,1941,Chicago Cubs,,,1,NL,,70,84,0.454545455,none,6,,n,,Wrigley Field,545159,7080,5th of 8,$,96,96,
Chicago White Sox,11,1941,Chicago White Sox,,,1,AL,,77,77,0.5,none,3,,n,,Comiskey Park I,677077,8571,5th of 8,$,99,99,
Cincinnati Reds,3,1941,Cincinnati Reds,,,3,NL,,88,66,0.571428571,none,3,,n ,,Crosley Field,643513,8146,3rd of 8,$,99,101,
Cleveland Indians,12,1941,Cleveland Indians,,,1,AL,,75,79,0.487012987,none,4,,n,,League Park II &  Cleveland Stadium,745948,9688,2nd of 8,$,95,95,
Detroit Tigers,13,1941,Detroit Tigers,,,1,AL,,75,79,0.487012987,none,4,,n,,Briggs Stadium,684915,8895,4th of 8,$,110,110,
Minnesota Twins,14,1941,Washington Senators,,,2,AL,,70,84,0.454545455,none,6,,n,,Griffith Stadium,415663,5329,7th of 8,$,97,95,
Oakland Athletics,16,1941,Philadelphia Athletics,,,2,AL,,64,90,0.415584416,none,8,,n,,Shibe Park,528894,6869,6th of 8,$,101,98,
Philadelphia Phillies,6,1941,Philadelphia Phillies,,,1,NL,,43,111,0.279220779,none,8,,n ,,Shibe Park,231401,3045,8th of 8,$,101,95,
Pittsburgh Pirates,4,1941,Pittsburgh Pirates,,,1,NL,,81,73,0.525974026,none,4,,n,,Forbes Field,482241,6183,6th of 8,$,100,100,
San Francisco Giants,7,1941,New York Giants,,,2,NL,,74,79,0.483660131,none,5,,n,,Polo Grounds V,763098,9783,2nd of 8,$,102,103,
St. Louis Cardinals,5,1941,St. Louis Cardinals,,,1,NL,,97,56,0.633986928,none,2,,n,,Sportsman's Park III,633645,8021,4th of 8,$,104,107,
New York Yankees,15,1942,New York Yankees,,,1,AL,,103,51,0.668831169,toppct,1,Lost_WS ,n ,4-1),Yankee Stadium I,922011,11974,1st of 8,$,94,98,
St. Louis Cardinals,5,1942,St. Louis Cardinals,,,1,NL,,106,48,0.688311688,both,1,Won_WS ,y,4-1),Sportsman's Park III,553552,7097,4th of 8,$,104,108,
Atlanta Braves,1,1942,Boston Braves,,,3,NL,,59,89,0.398648649,none,7,,n ,,Braves Field,285332,4019,7th of 8,$,100,97,
Baltimore Orioles,9,1942,St. Louis Browns,,,2,AL,,82,69,0.543046358,none,3,,n ,,Sportsman's Park III,255617,3320,8th of 8,$,102,102,
Boston Red Socks,10,1942,Boston Red Sox,,,1,AL,,93,59,0.611842105,none,2,,n ,,Fenway Park,730340,9485,2nd of 8,$,102,104,
Chicago Cubs,2,1942,Chicago Cubs,,,1,NL,,68,86,0.441558442,none,6,,n,,Wrigley Field,590972,7577,3rd of 8,$,96,96,
Chicago White Sox,11,1942,Chicago White Sox,,,1,AL,,66,82,0.445945946,none,6,,n,,Comiskey Park I,425734,6082,4th of 8,$,98,97,
Cincinnati Reds,3,1942,Cincinnati Reds,,,3,NL,,76,76,0.5,none,4,,n ,,Crosley Field,427031,5546,6th of 8,$,99,100,
Cleveland Indians,12,1942,Cleveland Indians,,,1,AL,,75,79,0.487012987,none,4,,n,,Cleveland Stadium &  League Park II,459447,5743,5th of 8,$,94,94,
Detroit Tigers,13,1942,Detroit Tigers,,,1,AL,,73,81,0.474025974,none,5,,n,,Briggs Stadium,580087,7534,3rd of 8,$,108,108,
Los Angeles Dodgers,8,1942,Brooklyn Dodgers,,,2,NL,,104,50,0.675324675,none,2,,n ,,Ebbets Field,1037765,13136,1st of 8,$,99,103,
Minnesota Twins,14,1942,Washington Senators,,,2,AL,,62,89,0.410596026,none,7,,n,,Griffith Stadium,403493,5240,7th of 8,$,100,99,
Oakland Athletics,16,1942,Philadelphia Athletics,,,2,AL,,55,99,0.357142857,none,8,,n,,Shibe Park,423487,5572,6th of 8,$,104,100,
Philadelphia Phillies,6,1942,Philadelphia Phillies,,,1,NL,,42,109,0.278145695,none,8,,n ,,Shibe Park,230183,3111,8th of 8,$,99,94,
Pittsburgh Pirates,4,1942,Pittsburgh Pirates,,,1,NL,,66,81,0.448979592,none,5,,n,,Forbes Field,448897,5830,5th of 8,$,102,103,
San Francisco Giants,7,1942,New York Giants,,,2,NL,,85,67,0.559210526,none,3,,n,,Polo Grounds V,779621,9869,2nd of 8,$,102,101,
St. Louis Cardinals,5,1943,St. Louis Cardinals,,,1,NL,,105,49,0.681818182,toppct,1,Lost_WS ,n ,4-1),Sportsman's Park III,517135,6384,4th of 8,$,101,106,
New York Yankees,15,1943,New York Yankees,,,1,AL,,98,56,0.636363636,both,1,Won_WS ,y,4-1),Yankee Stadium I,618330,8030,1st of 8,$,98,101,
Atlanta Braves,1,1943,Boston Braves,,,3,NL,,68,85,0.444444444,none,6,,n ,,Braves Field,271289,3523,8th of 8,$,100,98,
Baltimore Orioles,9,1943,St. Louis Browns,,,2,AL,,72,80,0.473684211,none,6,,n ,,Sportsman's Park III,214392,2784,8th of 8,$,102,104,
Boston Red Socks,10,1943,Boston Red Sox,,,1,AL,,68,84,0.447368421,none,7,,n ,,Fenway Park,358275,4653,7th of 8,$,101,102,
Chicago Cubs,2,1943,Chicago Cubs,,,1,NL,,74,79,0.483660131,none,5,,n,,Wrigley Field,508247,6777,2nd of 8,$,98,98,
Chicago White Sox,11,1943,Chicago White Sox,,,1,AL,,82,72,0.532467532,none,4,,n,,Comiskey Park I,508962,6697,4th of 8,$,101,99,
Cincinnati Reds,3,1943,Cincinnati Reds,,,3,NL,,87,67,0.564935065,none,2,,n ,,Crosley Field,379122,4861,7th of 8,$,99,99,
Cleveland Indians,12,1943,Cleveland Indians,,,1,AL,,82,71,0.535947712,none,3,,n,,Cleveland Stadium &  League Park II,438894,5700,5th of 8,$,94,93,
Detroit Tigers,13,1943,Detroit Tigers,,,1,AL,,78,76,0.506493506,none,5,,n,,Briggs Stadium,606287,7773,2nd of 8,$,106,107,
Los Angeles Dodgers,8,1943,Brooklyn Dodgers,,,2,NL,,81,72,0.529411765,none,3,,n ,,Ebbets Field,661739,8594,1st of 8,$,100,101,
Minnesota Twins,14,1943,Washington Senators,,,2,AL,,84,69,0.549019608,none,2,,n,,Griffith Stadium,574694,7562,3rd of 8,$,97,96,
Oakland Athletics,16,1943,Philadelphia Athletics,,,2,AL,,49,105,0.318181818,none,8,,n,,Shibe Park,376735,4769,6th of 8,$,103,99,
Philadelphia Phillies,6,1943,Philadelphia Phillies,,,1,NL,,64,90,0.415584416,none,7,,n ,,Shibe Park,466975,5987,6th of 8,$,99,95,
Pittsburgh Pirates,4,1943,Pittsburgh Pirates,,,1,NL,,80,74,0.519480519,none,4,,n,,Forbes Field,498740,6394,3rd of 8,$,103,104,
San Francisco Giants,7,1943,New York Giants,,,2,NL,,55,98,0.359477124,none,8,,n,,Polo Grounds V,466095,6053,5th of 8,$,101,100,
Baltimore Orioles,9,1944,St. Louis Browns,,,2,AL,,89,65,0.577922078,toppct,1,Lost_WS ,n ,4-2),Sportsman's Park III,508644,6606,6th of 8,$,107,107,
St. Louis Cardinals,5,1944,St. Louis Cardinals,,,1,NL,,105,49,0.681818182,both,1,Won_WS ,y,4-2),Sportsman's Park III,461968,6000,5th of 8,$,99,103,
Atlanta Braves,1,1944,Boston Braves,,,3,NL,,65,89,0.422077922,none,6,,n ,,Braves Field,208691,2676,8th of 8,$,106,104,
Boston Red Socks,10,1944,Boston Red Sox,,,1,AL,,77,77,0.5,none,4,,n ,,Fenway Park,506975,6500,7th of 8,$,100,99,
Chicago Cubs,2,1944,Chicago Cubs,,,1,NL,,75,79,0.487012987,none,4,,n,,Wrigley Field,640110,8207,2nd of 8,$,97,99,
Chicago White Sox,11,1944,Chicago White Sox,,,1,AL,,71,83,0.461038961,none,7,,n,,Comiskey Park I,563539,7319,3rd of 8,$,99,98,
Cincinnati Reds,3,1944,Cincinnati Reds,,,3,NL,,89,65,0.577922078,none,3,,n ,,Crosley Field,409567,5251,6th of 8,$,97,96,
Cleveland Indians,12,1944,Cleveland Indians,,,1,AL,,72,82,0.467532468,none,5,,n,,Cleveland Stadium &  League Park II,475272,6093,8th of 8,$,96,96,
Detroit Tigers,13,1944,Detroit Tigers,,,1,AL,,88,66,0.571428571,none,2,,n,,Briggs Stadium,923176,11836,1st of 8,$,103,105,
Los Angeles Dodgers,8,1944,Brooklyn Dodgers,,,2,NL,,63,91,0.409090909,none,7,,n ,,Ebbets Field,605905,7869,3rd of 8,$,98,98,
Minnesota Twins,14,1944,Washington Senators,,,2,AL,,64,90,0.415584416,none,8,,n,,Griffith Stadium,525235,6821,4th of 8,$,95,95,
New York Yankees,15,1944,New York Yankees,,,1,AL,,83,71,0.538961039,none,3,,n,,Yankee Stadium I,789995,10128,2nd of 8,$,102,104,
Oakland Athletics,16,1944,Philadelphia Athletics,,,2,AL,,72,82,0.467532468,none,5,,n,,Shibe Park,505322,6649,5th of 8,$,101,97,
Philadelphia Phillies,6,1944,Philadelphia Phillies,,,1,NL,,61,92,0.39869281,none,8,,n ,,Shibe Park,369586,4678,7th of 8,$,99,96,
Pittsburgh Pirates,4,1944,Pittsburgh Pirates,,,1,NL,,90,63,0.588235294,none,2,,n,,Forbes Field,604278,7460,4th of 8,$,103,105,
San Francisco Giants,7,1944,New York Giants,,,2,NL,,67,87,0.435064935,none,5,,n,,Polo Grounds V,674483,8993,1st of 8,$,101,99,
Chicago Cubs,2,1945,Chicago Cubs,,,1,NL,,98,56,0.636363636,toppct,1,Lost_WS ,n,4-3),Wrigley Field,1036386,13637,1st of 8,$,96,98,
Detroit Tigers,13,1945,Detroit Tigers,,,1,AL,,88,65,0.575163399,both,1,Won_WS ,y,4-3),Briggs Stadium,1280341,16847,1st of 8,$,105,107,
Atlanta Braves,1,1945,Boston Braves,,,3,NL,,67,85,0.440789474,none,6,,n ,,Braves Field,374178,4989,6th of 8,$,101,100,
Baltimore Orioles,9,1945,St. Louis Browns,,,2,AL,,81,70,0.536423841,none,3,,n,,Sportsman's Park III,482986,6355,7th of 8,$,106,106,
Boston Red Socks,10,1945,Boston Red Sox,,,1,AL,,71,83,0.461038961,none,7,,n ,,Fenway Park,603794,7741,5th of 8,$,101,103,
Chicago White Sox,11,1945,Chicago White Sox,,,1,AL,,71,78,0.476510067,none,6,,n,,Comiskey Park I,657981,8892,3rd of 8,$,98,97,
Cincinnati Reds,3,1945,Cincinnati Reds,,,3,NL,,61,93,0.396103896,none,7,,n ,,Crosley Field,290070,3767,7th of 8,$,99,98,
Cleveland Indians,12,1945,Cleveland Indians,,,1,AL,,73,72,0.503448276,none,5,,n,,Cleveland Stadium &  League Park II,558182,7249,6th of 8,$,96,95,
Los Angeles Dodgers,8,1945,Brooklyn Dodgers,,,2,NL,,87,67,0.564935065,none,3,,n ,,Ebbets Field,1059220,13580,2nd of 8,$,99,99,
Minnesota Twins,14,1945,Washington Senators,,,2,AL,,87,67,0.564935065,none,2,,n,,Griffith Stadium,652660,8367,4th of 8,$,92,91,
New York Yankees,15,1945,New York Yankees,,,1,AL,,81,71,0.532894737,none,4,,n,,Yankee Stadium I,881845,11603,2nd of 8,$,103,105,
Oakland Athletics,16,1945,Philadelphia Athletics,,,2,AL,,52,98,0.346666667,none,8,,n,,Shibe Park,462631,6008,8th of 8,$,101,98,
Philadelphia Phillies,6,1945,Philadelphia Phillies,,,1,NL,,46,108,0.298701299,none,8,,n ,,Shibe Park,285057,3702,8th of 8,$,100,96,
Pittsburgh Pirates,4,1945,Pittsburgh Pirates,,,1,NL,,82,72,0.532467532,none,4,,n,,Forbes Field,604694,7654,4th of 8,$,104,104,
San Francisco Giants,7,1945,New York Giants,,,2,NL,,78,74,0.513157895,none,5,,n,,Polo Grounds V,1016468,13032,3rd of 8,$,102,101,
St. Louis Cardinals,5,1945,St. Louis Cardinals,,,1,NL,,95,59,0.616883117,none,2,,n,,Sportsman's Park III,594630,7623,5th of 8,$,99,103,
Boston Red Socks,10,1946,Boston Red Sox,,,1,AL,,104,50,0.675324675,toppct,1,Lost_WS ,n ,4-3),Fenway Park,1416944,18166,3rd of 8,$,105,106,
St. Louis Cardinals,5,1946,St. Louis Cardinals,,,1,NL,,98,58,0.628205128,both,1,Won_WS ,y,4-3),Sportsman's Park III,1061807,13613,4th of 8,$,101,104,
Atlanta Braves,1,1946,Boston Braves,,,3,NL,,81,72,0.529411765,none,4,,n ,,Braves Field &  Fenway Park,969673,12593,6th of 8,$,101,101,
Baltimore Orioles,9,1946,St. Louis Browns,,,2,AL,,66,88,0.428571429,none,7,,n,,Sportsman's Park III,526435,6837,8th of 8,$,107,106,
